Sample;M;intensity
brain1;2224.8;263276858
brain1;2225.8;232104319
brain1;2226.8;1167816159
brain1;2239.8;36841580
brain1;2240.8;46587526
brain1;2241.8;161634773
brain1;2242.8;475053626
brain1;2243.8;138979621
brain1;2248.8;30737802
brain1;2254.9;9952378
brain1;2255.8;29788211
brain1;2256.8;76506083
brain1;2257.8;878760359
brain1;2258.8;138084351
brain1;2259.8;25697002
brain1;2265.8;61442607
brain1;2267.8;116990005
brain1;2267.9;33476589
brain1;2269.9;6379666
brain1;2271.9;32852625
brain1;2279.8;21261743
brain1;2281.8;71475558
brain1;2282.8;162155316
brain1;2282.9;63236801
brain1;2283.8;351815048
brain1;2283.9;170233862
brain1;2284.9;790392658
brain1;2299.9;78644106
brain1;2300.9;72741536
brain1;2301.9;99078268
brain1;2302.9;16235532
brain1;2305.8;13245932
brain1;2306.8;170064220
brain1;2308.9;35078155
brain1;2316.9;7596565
brain1;2322.9;176891644
brain1;2323.8;16860745
brain1;2323.9;39934157
brain1;2324.9;646092416
brain1;2327.9;6172614
brain1;2328.8;9871653
brain1;2329.9;13949085
brain1;2330.8;92521272
brain1;2336.8;14961098
brain1;2339.9;40661167
brain1;2341.9;99321686
brain1;2346.9;14720125
brain1;2347.9;7115689
brain1;2364.8;34113682
brain1;2369.8;5598184
brain1;2370.9;46708101
brain1;2371.9;1681780109
brain1;2385.8;29299748
brain1;2385.9;14913007
brain1;2386.9;75787563
brain1;2387.9;227087332
brain1;2388.9;199019182
brain1;2393.8;35079580
brain1;2394.8;13529050
brain1;2401.8;61246093
brain1;2402.8;12216270
brain1;2403.9;668097522
brain1;2404.9;10291469
brain1;2405.9;11684858
brain1;2409.8;10196072
brain1;2409.9;8621333
brain1;2410.9;18453484
brain1;2411.9;14536087
brain1;2412.9;142859110
brain1;2416.7;15052441
brain1;2416.9;47814660
brain1;2421.8;8044184
brain1;2425.8;10546187
brain1;2426.8;11757376
brain1;2428.9;127024919
brain1;2429.9;1015687476
brain1;2444.9;56490940
brain1;2445.9;120693079
brain1;2446.9;211246517
brain1;2447.9;6726644
brain1;2449.8;10095556
brain1;2450.8;6169198
brain1;2451.8;341720813
brain1;2451.9;9849689
brain1;2452.8;18861702
brain1;2453.9;52503911
brain1;2459.9;6314743
brain1;2460.9;9345430
brain1;2466.8;15150789
brain1;2466.9;9562648
brain1;2467.9;18996817
brain1;2468.8;63494849
brain1;2483.9;5652169
brain1;2484.9;28824464
brain1;2485.9;115563216
brain1;2486.9;213824145
brain1;2487.9;250485949
brain1;2496.9;8846630
brain1;2501.9;11509515
brain1;2503;10557904
brain1;2508.9;27732494
brain1;2509.9;17153842
brain1;2513.7;5431935
brain1;2515.9;42399692
brain1;2516.9;162551127
brain1;2517.9;390129886
